Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropNonWrkTripPay,PropWkrPay,PropCashOut,PkgCost.2010
49,2050,4,1.75,0,0,0,0,0
50,2050,4,1.75,0,0,0,0,0
51,2050,4,1.75,0,0,0,0,0
52,2050,4,1.75,0,0,0,0,0
53,2050,4,1.75,0,0,0,0,0
54,2050,4,1.75,0,0,0,0,0
55,2050,4,1.75,0,0,0,0,0
56,2050,6,2,1,0,0,0,0
61,2050,4,1.75,0,0.28,0.575,0,10
64,2050,4,1.75,0,0.28,0.575,0,10
65,2050,4,1.75,0,0,0,0,0
66,2050,4,1.75,0,0,0,0,0
67,2050,4,1.75,0,0,0,0,0
70,2050,4,1.75,0,0,0,0,0
71,2050,4,1.75,0,0,0,0,0
74,2050,4,1.75,0,0,0,0,0
75,2050,4,1.75,0,0.06,0.4,0,3.2
76,2050,2,1.75,0,0.28,0.575,0,10
77,2050,2,1.75,0,0,0,0,0
78,2050,2,1.75,0,0,0,0,0
80,2050,6,2,1,0,0,0,0
81,2050,6,2,1,0,0,0,0
82,2050,6,2,1,0,0,0,0
83,2050,6,2,1,0,0,0,0
84,2050,10,4,0.75,0,0,0,0
85,2050,10,4,0.75,0,0,0,0
86,2050,6,2,1,0,0,0,0
87,2050,6,2,1,0,0,0,0
88,2050,6,2,1,0,0,0,0
89,2050,6,2,1,0,0,0,0
90,2050,6,2,1,0,0,0,0
91,2050,6,2,1,0.06,0.4,0,3.2
92,2050,6,2,1,0,0,0,0
94,2050,6,2,1,0,0,0,0
95,2050,6,2,1,0,0,0,0
100,2050,6,2,1,0,0,0,0
103,2050,6,2,1,0,0,0,0
104,2050,6,2,1,0,0,0,0
107,2050,6,2,1,0,0,0,0
110,2050,6,2,1,0,0,0,0
111,2050,6,2,1,0,0,0,0
112,2050,6,2,1,0,0,0,0
114,2050,6,2,1,0,0,0,0
116,2050,6,2,1,0,0,0,0
117,2050,6,2,1,0,0,0,0
118,2050,6,2,1,0.28,0.575,0,10
120,2050,6,2,1,0,0,0,0
124,2050,6,2,1,0,0,0,0
125,2050,6,2,1,0.28,0.575,0,10
126,2050,6,2,1,0.28,0.575,0,10
128,2050,6,2,1,0,0,0,0
129,2050,10,4,0.75,0,0,0,0
130,2050,10,4,0.75,0,0,0,0
131,2050,6,2,1,0,0,0,0
132,2050,6,2,1,0,0,0,0
133,2050,10,4,0.75,0,0,0,0
134,2050,6,2,1,0.02,0.1,0,0.547089912
135,2050,4,1.75,0,0,0,0,0
136,2050,4,1.75,0,0,0,0,0
137,2050,4,1.75,0,0,0,0,0
138,2050,10,4,0.75,0,0,0,0
139,2050,10,4,0.75,0,0,0,0
140,2050,6,2,1,0,0,0,0
141,2050,6,2,1,0,0,0,0
143,2050,4,1.75,0,0,0,0,0
144,2050,4,1.75,0,0,0,0,0
146,2050,6,2,1,0,0,0,0
147,2050,6,2,1,0,0,0,0
148,2050,6,2,1,0,0,0,0
149,2050,6,2,1,0.02,0.1,0,0.547089912
150,2050,6,2,1,0,0,0,0
151,2050,4,1.75,0,0.06,0.4,0,3.2
152,2050,10,4,0.75,0,0,0,0
153,2050,10,4,0.75,0,0,0,0
154,2050,6,2,1,0,0,0,0
155,2050,6,2,1,0,0,0,0
156,2050,6,2,1,0,0,0,0
158,2050,4,1.75,0,0.28,0.575,0,10
162,2050,4,1.75,0,0.06,0.4,0,0
164,2050,4,1.75,0,0.06,0.4,0,3.2
168,2050,4,1.75,0,0,0,0,0
169,2050,10,4,0.75,0,0,0,0
170,2050,10,4,0.75,0,0,0,0
171,2050,10,4,0.75,0,0,0,0
172,2050,4,1.75,0,0,0,0,0
173,2050,4,1.75,0,0.06,0.4,0,3.2
180,2050,6,2,1,0,0,0,0
