Geo,Year,PM25
362,2005,5.510017357
363,2005,5.502419197
365,2005,5.501090687
366,2005,5.502999007
368,2005,5.539467741
373,2005,5.636135791
374,2005,5.637449443
376,2005,5.545033538
378,2005,5.507065473
379,2005,5.500005919
380,2005,5.499993155
381,2005,5.40276217
382,2005,5.507846835
383,2005,5.509016989
384,2005,5.55110352
388,2005,5.544252562
389,2005,5.543377155
390,2005,5.503175929
395,2005,5.674292062
396,2005,5.788841219
411,2005,5.632242375
414,2005,5.518699466
415,2005,5.513545493
416,2005,5.53653525
417,2005,5.586345503
418,2005,5.454319038
419,2005,5.575431554
420,2005,5.57478203
421,2005,5.479514449
422,2005,5.476864588
423,2005,5.476444948
424,2005,5.525631496
426,2005,5.517236644
427,2005,5.518403121
428,2005,5.499883782
429,2005,5.49999339
430,2005,5.380336171
431,2005,5.379210886
432,2005,5.37752662
433,2005,5.388871474
434,2005,5.473360319
435,2005,5.446803246
436,2005,5.637998361
437,2005,5.527474312
439,2005,5.70024364
442,2005,5.634949105
443,2005,5.623793029
444,2005,5.623793029
447,2005,5.788370221
450,2005,5.477360626
451,2005,5.616760669
31,2021,5.355490274
32,2021,5.445381341
33,2021,5.2695526
34,2021,5.359474724
35,2021,5.353648421
36,2021,5.296943601
37,2021,5.287748899
38,2021,5.434518791
39,2021,5.300373216
40,2021,5.351290325
41,2021,5.413696035
42,2021,5.492414971
43,2021,5.749013483
44,2021,5.716288805
45,2021,5.483638954
47,2021,5.50214138
48,2021,5.716580832
49,2021,5.656600026
50,2021,5.487720873
51,2021,5.655817091
52,2021,5.761468997
53,2021,5.790607017
54,2021,5.63453713
55,2021,5.481746413
56,2021,5.4798081
61,2021,5.778902527
64,2021,5.786179985
65,2021,5.704943077
66,2021,5.602116562
67,2021,5.515642257
70,2021,5.434808467
71,2021,5.627057857
74,2021,5.690535735
75,2021,5.704522711
76,2021,5.702694309
77,2021,5.754204968
78,2021,5.786344342
80,2021,5.623893574
81,2021,5.664322849
82,2021,5.750186276
83,2021,5.626319928
84,2021,5.623793029
85,2021,5.70819778
86,2021,5.785286866
87,2021,5.711732824
88,2021,5.71341678
89,2021,5.745819754
90,2021,5.701596185
91,2021,5.797226116
92,2021,5.81297851
94,2021,5.799635858
95,2021,5.79909623
100,2021,5.795235411
103,2021,5.799631461
104,2021,5.781687294
107,2021,5.786409636
110,2021,5.666958321
111,2021,5.710876145
112,2021,5.772935623
114,2021,5.74351199
116,2021,5.759582637
117,2021,5.742756224
118,2021,5.753054819
120,2021,5.790502392
124,2021,5.770173871
125,2021,5.757095014
126,2021,5.737318613
128,2021,5.748831179
129,2021,5.623793029
130,2021,5.683816081
131,2021,5.709266714
132,2021,5.684093126
133,2021,5.620607683
134,2021,5.685050321
135,2021,5.827246203
136,2021,5.830257511
137,2021,5.830459645
138,2021,5.643387806
139,2021,5.706726921
140,2021,5.798620604
141,2021,5.785471104
143,2021,5.783284485
144,2021,5.780606461
146,2021,5.797444908
147,2021,5.767488446
148,2021,5.708127039
