dose,RR,lb,ub
40.38222222,0.61327613,0.53741226,0.699849334
40.46018018,0.613134142,0.537243816,0.699744633
40.53813814,0.612992187,0.537075396,0.699639985
40.6160961,0.612850265,0.536907,0.699535389
40.69405405,0.612708375,0.53673863,0.699430845
40.77201201,0.612566519,0.536570284,0.699326353
40.84996997,0.612424695,0.536401963,0.699221914
40.92792793,0.612282904,0.536233667,0.699117527
41.00588589,0.612141146,0.536065396,0.699013191
41.08384384,0.611999421,0.53589715,0.698908907
41.1618018,0.611857729,0.535728929,0.698804675
41.23975976,0.611716069,0.535560733,0.698700495
41.31771772,0.611574442,0.535392562,0.698596366
41.39567568,0.611432848,0.535224416,0.698492289
41.47363363,0.611291287,0.535056296,0.698388263
41.55159159,0.611149758,0.534888201,0.698284288
41.62954955,0.611008263,0.534720132,0.698180365
41.70750751,0.6108668,0.534552088,0.698076493
41.78546547,0.610725369,0.53438407,0.697972671
41.86342342,0.610583972,0.534216077,0.697868901
41.94138138,0.610442607,0.53404811,0.697765182
42.01933934,0.610301275,0.533880169,0.697661513
42.0972973,0.610159976,0.533712253,0.697557895
42.17525526,0.610018709,0.533544364,0.697454328
42.25321321,0.609877475,0.5333765,0.697350811
42.33117117,0.609736274,0.533208662,0.697247345
42.40912913,0.609595106,0.53304085,0.697143929
42.48708709,0.60945397,0.532873065,0.697040564
42.56504505,0.609312867,0.532705305,0.696937249
42.643003,0.609171797,0.532537572,0.696833983
42.72096096,0.609030759,0.532369865,0.696730768
42.79891892,0.608889754,0.532202184,0.696627603
42.87687688,0.608748781,0.53203453,0.696524488
42.95483483,0.608607841,0.531866902,0.696421422
43.03279279,0.608466934,0.531699301,0.696318407
43.11075075,0.60832606,0.531531726,0.696215441
43.18870871,0.608185218,0.531364178,0.696112524
43.26666667,0.608044408,0.531196656,0.696009657
43.34462462,0.607903631,0.531029161,0.695906839
43.42258258,0.607762887,0.530861693,0.695804071
43.50054054,0.607622176,0.530694252,0.695701352
43.5784985,0.607481497,0.530526837,0.695598682
43.65645646,0.60734085,0.53035945,0.695496061
43.73441441,0.607200236,0.53019209,0.695393489
43.81237237,0.607059655,0.530024756,0.695290966
43.89033033,0.606919106,0.52985745,0.695188492
43.96828829,0.60677859,0.529690171,0.695086066
44.04624625,0.606638106,0.529522919,0.69498369
44.1242042,0.606497655,0.529355695,0.694881362
44.20216216,0.606357237,0.529188497,0.694779082
44.28012012,0.60621685,0.529021327,0.694676851
44.35807808,0.606076497,0.528854185,0.694574668
44.43603604,0.605936176,0.52868707,0.694472533
44.51399399,0.605795887,0.528519983,0.694370447
44.59195195,0.605655631,0.528352923,0.694268409
44.66990991,0.605515407,0.528185891,0.694166419
44.74786787,0.605375216,0.528018887,0.694064476
44.82582583,0.605235057,0.52785191,0.693962582
44.90378378,0.605094931,0.527684961,0.693860736
44.98174174,0.604954837,0.52751804,0.693758937
45.0596997,0.604814775,0.527351147,0.693657186
45.13765766,0.604674746,0.527184282,0.693555482
45.21561562,0.60453475,0.527017445,0.693453826
45.29357357,0.604394786,0.526850636,0.693352217
45.37153153,0.604254854,0.526683856,0.693250656
45.44948949,0.604114954,0.526517103,0.693149142
45.52744745,0.603975087,0.526350379,0.693047675
45.60540541,0.603835253,0.526183683,0.692946256
45.68336336,0.603695451,0.526017015,0.692844883
45.76132132,0.603555681,0.525850376,0.692743557
45.83927928,0.603415943,0.525683765,0.692642278
45.91723724,0.603276238,0.525517182,0.692541046
45.9951952,0.603136565,0.525350629,0.692439861
46.07315315,0.602996925,0.525184104,0.692338722
46.15111111,0.602857317,0.525017607,0.69223763
46.22906907,0.602717741,0.524851139,0.692136585
46.30702703,0.602578197,0.5246847,0.692035586
