Geo,Year,ElectricityCI
Tillamook,1990,11.15082569
Tillamook,1995,11.15082569
Tillamook,2000,11.15082569
Tillamook,2005,11.15082569
Tillamook,2010,11.12562608
Tillamook,2015,9.851386043396676
Tillamook,2020,4.185149656382953
Tillamook,2025,4.102507782436174
Tillamook,2030,4.054662486993302
Tillamook,2035,4.0263902669588765
Tillamook,2040,4.0176911223329
Tillamook,2045,4.0176911223329
Tillamook,2050,4.0176911223329
Umatilla,1990,139.8578137
Umatilla,1995,139.8578137
Umatilla,2000,139.8578137
Umatilla,2005,139.8578137
Umatilla,2010,136.6196644
Umatilla,2015,108.96442519231499
Umatilla,2020,110.12527830470678
Umatilla,2025,71.01029917035963
Umatilla,2030,48.36478493468495
Umatilla,2035,34.98334470451355
Umatilla,2040,30.86597847984543
Umatilla,2045,30.86597847984543
Umatilla,2050,30.86597847984543
Union,1990,10.00424361
Union,1995,10.00424361
Union,2000,10.00424361
Union,2005,10.00424361
Union,2010,10.00424361
Union,2015,9.665957013182705
Union,2020,3.9942887509840004
Union,2025,3.9942887509840004
Union,2030,3.9942887509840004
Union,2035,3.9942887509840004
Union,2040,3.9942887509840004
Union,2045,3.9942887509840004
Union,2050,3.9942887509840004
Wallowa,1990,258.4597598
Wallowa,1995,258.4597598
Wallowa,2000,258.4597598
Wallowa,2005,258.4597598
Wallowa,2010,252.2732565
Wallowa,2015,220.51307335078909
Wallowa,2020,216.37084268185527
Wallowa,2025,134.17179794522767
Wallowa,2030,86.58287730823272
Wallowa,2035,58.46215147728116
Wallowa,2040,49.80962045237299
Wallowa,2045,49.80962045237299
Wallowa,2050,49.80962045237299
Wasco,1990,23.46083326
Wasco,1995,23.46083326
Wasco,2000,23.46083326
Wasco,2005,23.46083326
Wasco,2010,23.12063858
Wasco,2015,20.195491313411516
Wasco,2020,17.272562596259583
Wasco,2025,13.137463394182868
Wasco,2030,10.74345859298056
Wasco,2035,9.328819392270104
Wasco,2040,8.893545792051503
Wasco,2045,8.893545792051503
Wasco,2050,8.893545792051503
Washington,1990,175.7672524
Washington,1995,175.7672524
Washington,2000,175.7672524
Washington,2005,175.7672524
Washington,2010,171.1431247
Washington,2015,131.7316644268813
Washington,2020,128.87752606380096
Washington,2025,79.97983640490273
Washington,2030,51.670647655014314
Washington,2035,34.94249066644387
Washington,2040,29.795365439191418
Washington,2045,29.795365439191418
Washington,2050,29.795365439191418
Wheeler,1990,10.00424361
Wheeler,1995,10.00424361
Wheeler,2000,10.00424361
Wheeler,2005,10.00424361
Wheeler,2010,10.00424361
Wheeler,2015,9.665957022848662
Wheeler,2020,3.994288754978289
Wheeler,2025,3.994288754978289
Wheeler,2030,3.994288754978289
Wheeler,2035,3.994288754978289
Wheeler,2040,3.994288754978289
Wheeler,2045,3.994288754978289
Wheeler,2050,3.994288754978289
Yamhill,1990,126.980815
Yamhill,1995,126.980815
Yamhill,2000,126.980815
Yamhill,2005,126.980815
Yamhill,2010,123.717466
Yamhill,2015,136.4607153213358
Yamhill,2020,133.66528672023594
Yamhill,2025,82.88475066297846
Yamhill,2030,53.48549294561889
Yamhill,2035,36.11320429445186
Yamhill,2040,30.76788470947739
Yamhill,2045,30.76788470947739
Yamhill,2050,30.76788470947739
